,title,date,content
0,테일즈 오브 어라이즈 이 게임은 온라인 게임인가요?,5일 전,이건 싱글로도 재미있게 할 수 있는건가요? 유튭 체험판 영상만 봤는데 친구들과 하거나 온라인 플레이로 해야 재미있을꺼 같은 느낌이 들어서요~ 이 게임 전작도 있었는지 궁금합니다^^
1,온라인 게임 추천부탁드립니다.,2021.07.20.,애기가 어려서 올인하다보니 스트레스는 쌓이고 친구들도 코로나로 못만나고 너무 우울한 유부아재입니다.ㅠ 온라인 게임이라도 하면서 이야기도하고 그러고 싶은데 괜찮은 게임 있을까요? 롤같은 게임 말고 천천히...
2,PC온라인게임 바람의나라 지금 바로 복귀할 타이밍!!!,2021.08.12.,"솔직히 혜택이 너무 커서, 괜찮은 PC온라인게임을 찾는다면 정말 빠르게 레벨업 할 수 있는 지금이 바로 게임을 시작할 타이밍이라는 생각도 드네요. 게임에 관심이 있는 분들을 위해 아래 링크를 남겨드리니 참고하시길..."
3,여자친구랑 같이할 온라인 멀티게임 추천해주세여!,4일 전,오버쿡2 하고있구요 기기는 두대가있어서 저랑 여자친구랑 멀리있을때 온라인으로 만나서 같이할게임을찾고있습니다 추천좀해주세요!
4,"NC소프트 블레이드앤소울 업데이트 예고, PCMMORPG 온라인게임순위 떠오르나?",2021.03.12.,당시 기준으로 상당히 사양이 높은 온라인 게임으로써 언리얼엔진3의 고퀄리티 그래픽과 화려한 액션성으로... 한때는 온라인 최고 사양의 게임으로서 시대를 풍미했던 블소도 점점 낡아가고 있었던 것이죠. 사실...
5,라테일 각성 업데이트 리뷰 PC 온라인게임 추천,2021.08.03.,"이번 업데이트가 각성 파트1이고 오는 8월 25일 파트2까지 예고된 상황이라 PC 온라인게임 추천으로 해드리기에 좋은 시기가 아닐까 싶다. 자세한 내용을 살펴보자. 참, 이번에 유튜버 쏘대장과 연예인 하하가 함께 CM..."
6,"PC온라인게임 바람의나라, 바린이나르샤 1+1 레벨업 이벤트로 700까지 쉽게 공략하기!",2021.08.09.,"지난번 포스팅을 보신 분들은 아시겠지만 현재 PC온라인게임 바람의나라는 ""바린이나르샤""이벤트를... 무엇보다 PC온라인게임 바람의나라는 현재 이벤트의 제목인 ""바린이나르샤""답게 바람의나라를 잘 모르시는..."
7,할만한온라인게임 마영전 단아 출시 소감과 이벤트 살펴보기,2021.07.13.,할만한온라인게임 마영전의 정식 업데이트에 앞서 테스트 서버에서 플레이를 해보고 후기를 남겼던 신규... 할만한온라인게임을 시작했습니다. 그랬더니 이전에는 스킵되었던 프롤로그를 볼 수 있더라구요....
8,"라테일 라붐 업데이트, 온라인 RPG 게임의 살아있는 역사!",2021.07.15.,"라테일 라붐 업데이트, 온라인 RPG 게임의 살아있는 역사! 올해로 15주년을 맞이한 게임 라테일을 아시나요? 라테일은 이번 라붐 업데이트로 대대적인 개편에 들어가면서 완전히 다른 게임으로 거듭났습니다. 특히..."
9,[주간 빅데이터 게임순위] 점점 커지는 부문별 TOP 3의 존재감,2021.08.19.,"온라인 – ‘로스트아크’ 고공행진 ▲ 2021년 8월 3주차, 빅데이터 게임순위 온라인 TOP 10 (자료: 국민트리 제작) 온라인게임 차트 역시 모바일게임 부문과 양상이 비슷합니다. 3, 4위의 격차가 점점 커지고 있죠...."
10,"밀리터리 액션 온라인 게임 '워썬더', ‘다이렉트 히트’ 업데이트 공개",22시간 전,"- 수륙양용 공수 특전 차량, 유도 폭탄과 해군 사격 통제 시스템 추가 가이진 엔터테인먼트의 밀리터리 액션 온라인게임 <워썬더>가 ‘다이렉트 히트’업데이트를 공개했다. ‘다이렉트 히트’ 업데이트는 9월..."
