상호명,지점명,시도명,시군구명,도로명주소
스타벅스,동숭로아트점,서울특별시,종로구,서울특별시 종로구 동숭길 110
스타벅스남부터미널2점,남부터미널2점,서울특별시,서초구,서울특별시 서초구 효령로 274
스타벅스,당산점,서울특별시,영등포구,서울특별시 영등포구 양평로 64
스타벅스,가로수길점,서울특별시,강남구,서울특별시 강남구 논현로175길 94
스타벅스미아사거리역점,미아사거리역점,서울특별시,강북구,서울특별시 강북구 도봉로 32
스타벅스중랑구청점,중랑구청점,서울특별시,중랑구,서울특별시 중랑구 신내로 72
스타벅스,서강대점,서울특별시,마포구,서울특별시 마포구 백범로 23
스타벅스,문래역점,서울특별시,영등포구,서울특별시 영등포구 당산로 34
스타벅스,봉은사로선정릉점,서울특별시,강남구,서울특별시 강남구 봉은사로 446
스타벅스,방배다이치빌딩점,서울특별시,서초구,서울특별시 서초구 방배로 114
스타벅스,뉴코아강남점,서울특별시,서초구,서울특별시 서초구 잠원로 69
스타벅스,영풍문고점,서울특별시,종로구,서울특별시 종로구 청계천로 41
스타벅스,청담점,서울특별시,강남구,서울특별시 강남구 도산대로 532
스타벅스연신내역,,서울특별시,은평구,서울특별시 은평구 연서로 216
스타벅스구로디지털로점,구로디지털로점,서울특별시,구로구,서울특별시 구로구 디지털로33길 11
스타벅스,파미에파크점,서울특별시,서초구,서울특별시 서초구 사평대로 205
스타벅스구로에이스트윈타워1점,구로에이스트윈타워1점,서울특별시,구로구,서울특별시 구로구 디지털로 285
스타벅스종로관수점,종로관수점,서울특별시,종로구,서울특별시 종로구 삼일대로20길 13
스타벅스논현힐탑,,서울특별시,강남구,서울특별시 강남구 논현로 648
스타벅스,발산역점,서울특별시,강서구,서울특별시 강서구 강서로 388
스타벅스,포이점,서울특별시,강남구,서울특별시 강남구 논현로 88
스타벅스을지로입구,,서울특별시,중구,서울특별시 중구 남대문로10길 9
스타벅스교대역점,교대역점,서울특별시,서초구,서울특별시 서초구 서초중앙로 138
스타벅스,방배역점,서울특별시,서초구,서울특별시 서초구 방배로 84
스타벅스,양재강남빌딩R점,서울특별시,강남구,서울특별시 강남구 남부순환로 2621
스타벅스,이마빌딩점,서울특별시,종로구,서울특별시 종로구 종로1길 42
스타벅스,신사역점,서울특별시,강남구,서울특별시 강남구 도산대로 108
스타벅스고대프라자점,고대프라자점,서울특별시,성북구,서울특별시 성북구 인촌로 105
스타벅스황학캐슬점,황학캐슬점,서울특별시,중구,서울특별시 중구 청계천로 400
스타벅스소공로북창점,소공로북창점,서울특별시,중구,서울특별시 중구 세종대로18길 32
스타벅스,IFC몰점,서울특별시,영등포구,서울특별시 영등포구 국제금융로 10
