상호명,지점명,시도명,시군구명,도로명주소
이디야커피,신길역점,서울특별시,영등포구,서울특별시 영등포구 영등포로 353
이디야커피,라이프점,서울특별시,영등포구,서울특별시 영등포구 63로 40
이디야커피양재AT점,양재AT점,서울특별시,서초구,서울특별시 서초구 동산로 3
이디야커피,시흥점,서울특별시,금천구,서울특별시 금천구 금하로 750
이디야커피,개봉중앙점,서울특별시,구로구,서울특별시 구로구 개봉로3길 26
이디야커피,해군회관점,서울특별시,동작구,서울특별시 동작구 여의대방로 194
이디야커피,등촌역점,서울특별시,강서구,서울특별시 강서구 등촌로 217
이디야커피,신정역점,서울특별시,양천구,서울특별시 양천구 오목로 155
이디야커피,도림사거리,서울특별시,영등포구,서울특별시 영등포구 도림로 326
이디야서대문점2호,,서울특별시,서대문구,서울특별시 서대문구 통일로 141
이디야커피은행나무사거리점,은행나무사거리점,서울특별시,금천구,서울특별시 금천구 금하로 690
이디야IBK고객센터,,서울특별시,용산구,서울특별시 용산구 한남대로 72
이디야커피,디지털미디어시티역사점,서울특별시,마포구,서울특별시 마포구 성암로 184
이디야커피,둔촌점,서울특별시,강동구,서울특별시 강동구 양재대로 1377
이디야커피,약수역점,서울특별시,중구,서울특별시 중구 동호로10길 11
이디야커피,영등포아크로타워점,서울특별시,영등포구,서울특별시 영등포구 국회대로54길 10
이디야커피,중계롯데우성점,서울특별시,노원구,서울특별시 노원구 노원로22길 34
이디야커피,동덕여대점,서울특별시,성북구,서울특별시 성북구 화랑로13길 28
이디야커피,양재언남점,서울특별시,서초구,서울특별시 서초구 동산로 60
이디야커피,,서울특별시,성북구,서울특별시 성북구 오패산로16길 37
이디야커피수유역점,수유역점,서울특별시,강북구,서울특별시 강북구 도봉로 355
이디야커피돈암아리랑점,돈암아리랑점,서울특별시,성북구,서울특별시 성북구 아리랑로 85-16
이디야커피,오금점,서울특별시,송파구,서울특별시 송파구 오금로 306
이디야커피,사당역점,서울특별시,동작구,서울특별시 동작구 동작대로7길 100
이디야커피,건대후문점,서울특별시,광진구,서울특별시 광진구 광나루로 416
이디야커피,광운대점,서울특별시,노원구,서울특별시 노원구 광운로 29
이디야커피,삼전역점,서울특별시,송파구,서울특별시 송파구 백제고분로 263
이디야커피,청계산입구역점,서울특별시,서초구,서울특별시 서초구 청계산로 189
이디야커피,구일역점,서울특별시,구로구,서울특별시 구로구 구일로 110
이디야커피우장산동점,우장산동점,서울특별시,강서구,서울특별시 강서구 우현로 17
이디야커피,용산효창점,서울특별시,용산구,서울특별시 용산구 효창원로66길 2
이디야커피,신당점,서울특별시,중구,서울특별시 중구 다산로35길 11
이디야커피세광교회점,세광교회점,서울특별시,금천구,서울특별시 금천구 독산로 124
이디야커피,,서울특별시,강서구,서울특별시 강서구 우현로 15
이디야커피,미아역점,서울특별시,강북구,서울특별시 강북구 도봉로 207
이디야커피,,서울특별시,강북구,서울특별시 강북구 솔샘로 257
이디야커피,고덕점,서울특별시,강동구,서울특별시 강동구 동남로75길 19
이디야커피,녹번동점,서울특별시,은평구,서울특별시 은평구 진흥로 156
이디야커피,대방역점,서울특별시,동작구,서울특별시 동작구 노량진로 22
이디야커피,어린이대공원역점,서울특별시,광진구,서울특별시 광진구 광나루로 380
이디야커피,신림남부초교점,서울특별시,관악구,서울특별시 관악구 남부순환로 1541
이디야커피,송파잠실점,서울특별시,송파구,서울특별시 송파구 삼전로 95
이디야커피,신월7동점,서울특별시,양천구,서울특별시 양천구 지양로 79
이디야커피,우림시장점,서울특별시,중랑구,서울특별시 중랑구 봉우재로 240
이디야커피,목3동점,서울특별시,양천구,서울특별시 양천구 목동중앙북로 38
이디야커피동소문동점,동소문동점,서울특별시,성북구,서울특별시 성북구 동소문로13길 5
이디야커피,서울교대점,서울특별시,서초구,서울특별시 서초구 서초중앙로 91
이디야커피,마장동점,서울특별시,성동구,서울특별시 성동구 고산자로 339-1
이디야커피,별관,서울특별시,강남구,서울특별시 강남구 선릉로 577
이디야커피,길음중앙점,서울특별시,성북구,서울특별시 성북구 도봉로 11
이디야커피,공덕롯데캐슬,서울특별시,마포구,서울특별시 마포구 마포대로 109
이디야커피,북촌마을점,서울특별시,종로구,서울특별시 종로구 북촌로5길 39
이디야커피,한티역점,서울특별시,강남구,서울특별시 강남구 도곡로69길 8
이디야커피,성수중앙점,서울특별시,성동구,서울특별시 성동구 성수일로6길 47
이디야커피,신길아이파크점,서울특별시,영등포구,서울특별시 영등포구 도림로 280
이디야커피,당산버드나루점,서울특별시,영등포구,서울특별시 영등포구 버드나루로 87
이디야커피,까치산로점,서울특별시,강서구,서울특별시 강서구 까치산로 182
이디야커피,동대문구청점,서울특별시,동대문구,서울특별시 동대문구 천호대로 153-1
이디야커피,중화동점,서울특별시,중랑구,서울특별시 중랑구 동일로129길 1
이디야커피,방이초교점,서울특별시,송파구,서울특별시 송파구 가락로 280
이디야커피,아현역점,서울특별시,서대문구,서울특별시 서대문구 신촌로35길 10
이디야커피,용산원효점,서울특별시,용산구,서울특별시 용산구 원효로 70
이디야커피,등촌중앙점,서울특별시,강서구,서울특별시 강서구 등촌로 67
이디야커피,강서가양동점,서울특별시,강서구,서울특별시 강서구 강서로 511
이디야커피,이화여대점,서울특별시,서대문구,서울특별시 서대문구 이화여대길 26
이디야커피,신길성애병원점,서울특별시,영등포구,서울특별시 영등포구 여의대방로53길 27
이디야커피,합정홈플러스점,서울특별시,마포구,서울특별시 마포구 양화로 45
이디야커피,도봉산점,서울특별시,도봉구,서울특별시 도봉구 도봉산길 18
이디야커피,합정역사거리점,서울특별시,마포구,서울특별시 마포구 독막로2길 5
이디야커피김안과점,김안과점,서울특별시,영등포구,서울특별시 영등포구 영신로 136
이디야커피,구로역광장점,서울특별시,구로구,서울특별시 구로구 경인로 572
이디야커피,길동사거리점,서울특별시,강동구,서울특별시 강동구 천호대로 1132
이디야커피,고덕그라시움후문점,서울특별시,강동구,서울특별시 강동구 동남로82길 121
