????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
??,?,?,51349259,,,,,,,,,,,,,,,,,,,,,,,,
??,?,0 - 4?,1760637.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,5 - 9?,2305388.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,10 - 14?,2314984,,,,,,,,,,,,,,,,,,,,,,,,
??,?,15 - 19?,2551012.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,20 - 24?,3272265,,,,,,,,,,,,,,,,,,,,,,,,
??,?,25 - 29?,3505179.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,30 - 34?,3130579,,,,,,,,,,,,,,,,,,,,,,,,
??,?,35 - 39?,3786437.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,40 - 44?,3863754.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,45 - 49?,4380758,,,,,,,,,,,,,,,,,,,,,,,,
??,?,50 - 54?,4331294,,,,,,,,,,,,,,,,,,,,,,,,
??,?,55 - 59?,4207585,,,,,,,,,,,,,,,,,,,,,,,,
??,?,60 - 64?,3804709.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,65 - 69?,2635592,,,,,,,,,,,,,,,,,,,,,,,,
??,?,70 - 74?,2000708.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,75 - 79?,1602662.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,80? ??,1895711.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,80 - 84?,1110911.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,85? ??,784800,,,,,,,,,,,,,,,,,,,,,,,,
??,?,85 - 89?,549650.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,90 - 94?,188043.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,95 - 99?,41268.5,,,,,,,,,,,,,,,,,,,,,,,,
??,?,100? ??,5837.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,?,25606080.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,0 - 4?,903178,,,,,,,,,,,,,,,,,,,,,,,,
??,??,5 - 9?,1182550.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,10 - 14?,1192976.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,15 - 19?,1325906,,,,,,,,,,,,,,,,,,,,,,,,
??,??,20 - 24?,1709726,,,,,,,,,,,,,,,,,,,,,,,,
??,??,25 - 29?,1852731,,,,,,,,,,,,,,,,,,,,,,,,
??,??,30 - 34?,1623891.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,35 - 39?,1933535.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,40 - 44?,1962337,,,,,,,,,,,,,,,,,,,,,,,,
??,??,45 - 49?,2224690,,,,,,,,,,,,,,,,,,,,,,,,
??,??,50 - 54?,2184220,,,,,,,,,,,,,,,,,,,,,,,,
??,??,55 - 59?,2115455,,,,,,,,,,,,,,,,,,,,,,,,
??,??,60 - 64?,1878929.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,65 - 69?,1271779.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,70 - 74?,934279.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,75 - 79?,682114.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,80? ??,627780.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,80 - 84?,413379.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,85? ??,214401,,,,,,,,,,,,,,,,,,,,,,,,
??,??,85 - 89?,163454,,,,,,,,,,,,,,,,,,,,,,,,
??,??,90 - 94?,42101.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,95 - 99?,7951,,,,,,,,,,,,,,,,,,,,,,,,
??,??,100? ??,894.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,?,25743178.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,0 - 4?,857459.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,5 - 9?,1122838,,,,,,,,,,,,,,,,,,,,,,,,
??,??,10 - 14?,1122007.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,15 - 19?,1225106.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,20 - 24?,1562539,,,,,,,,,,,,,,,,,,,,,,,,
??,??,25 - 29?,1652448.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,30 - 34?,1506687.5,,,,,,,,,,,,,,,,,,,,,,,,
??,??,35 - 39?,1852902,,,,,,,,,,,,,,,,,,,,,,,,
